no,ELE,SLP,TMP,PPT,AREA
BR_0001753,937.53,0.39,22.67,1532.32,777
BR_0001756,1037.94,0.84,23.58,1592.34,1650
BR_0001761,1146.41,1.16,22.49,1488.87,113.23
BR_0001762,1115.59,0.66,22.49,1489.03,20.13
BR_0001763,1169.9,0.8,22.49,1487.94,12.12
BR_0001764,1209.25,0.93,22.49,1487.39,111.96
BR_0001765,1183.25,1.25,22.49,1482.87,15.51
BR_0001766,1197.45,0.75,22.49,1478.39,76.15
BR_0001767,1160.03,1.08,22.49,1486.55,433.49
BR_0001777,1001.78,0.89,23.06,1539.4,7690
BR_0001788,1109.36,1.03,22.32,1420.53,214.99
BR_0001792,1068.56,1.09,22.28,1420.5,689.19
BR_0001796,1190.92,1.17,22.32,1465,39.69
BR_0001798,1162.93,1.43,22.32,1467.08,234.36
BR_0001800,1103.8,0.63,22.32,1458.84,120.32
BR_0001809,1098.29,0.81,22.24,1480.47,134.93
BR_0001810,1118.24,0.98,22.16,1453.5,32.15
BR_0001817,1067.9,1.04,22.3,1439.12,2132
BR_0001822,1003.37,0.93,22.29,1467.37,4130
BR_0001825,894.1,0.73,23.23,1520.24,3680
BR_0001827,946.71,0.83,23.03,1502.84,20700
BR_0001828,946.71,0.83,23.03,1502.84,20700
BR_0001831,760.96,0.74,24.07,1490.55,2360
BR_0001837,850.22,0.83,24.3,1622.54,1740
BR_0001838,886.77,1.05,24.05,1604.63,765
BR_0001840,853.18,0.89,24.24,1613.36,2830
BR_0001841,1054.6,0.88,23.47,1597.86,51
BR_0001842,888.27,0.95,23.76,1560.74,1290
BR_0001845,786.49,0.74,24.41,1554.92,1250
BR_0001847,781.88,0.79,24.32,1546.53,9590
BR_0001852,590.61,0.55,25.44,1594.49,7890
BR_0001853,616.38,0.66,25.26,1577.52,17300
BR_0001854,880.69,0.7,24.18,1636.15,1020
BR_0001855,832.87,0.52,24.44,1631.18,808
BR_0001856,797.56,0.58,24.57,1617.8,5950
BR_0001858,808.45,0.62,24.38,1621.45,1170
BR_0001859,767.7,0.6,24.61,1612.45,8750
BR_0001861,721.94,0.59,24.66,1599.34,12800
BR_0001862,659.61,0.64,25.05,1580.69,30700
BR_0001864,641.85,0.62,25.06,1508.38,1360
BR_0001866,764.95,0.53,23.45,1491.25,3760
BR_0001868,729.62,0.58,24.17,1498.01,830
BR_0001871,538.35,0.66,24.9,1350.48,756
BR_0001872,615.54,0.86,24.67,1502.41,1630
BR_0001877,736.42,0.68,24.42,1541.16,13600
BR_0001878,863.14,0.68,23.76,1618.88,638
BR_0001880,477.34,0.51,25.07,1301.63,3520
BR_0001881,828.24,0.38,23.71,1561.95,1450
BR_0001882,801.51,0.57,23.89,1552.16,3190
BR_0001884,669.39,0.57,24.31,1509.85,6850
BR_0001885,746.83,0.62,24.08,1497.82,1200
BR_0001886,717.89,0.51,24.23,1492.84,4040
BR_0001887,698.61,0.59,24.31,1481.98,4700
BR_0001888,679.91,0.6,24.34,1475.89,5220
BR_0001926,1069.39,1.03,19.69,1556.93,15400
BR_0001938,1673.12,1.35,17.1,1842.77,109
BR_0001945,1460.04,3.24,18.45,1708.56,869
BR_0001964,1101.13,2.3,18.42,1633.46,7330
BR_0001989,1054.72,1.84,18.9,1598.36,6300
BR_0001998,978.14,1.02,20.52,1538.06,884
BR_0002006,1024,0.87,20.81,1551.39,1280
BR_0002014,877.4,0.74,22.25,1522.48,202
BR_0002019,776.37,1.19,22.72,1504.96,83
BR_0002022,673.83,0.83,22.89,1483.26,267
BR_0002024,775.21,0.9,22.32,1489.38,6270
BR_0002027,737.69,0.65,23.52,1534.29,1980
BR_0002033,966.62,1.35,20.6,1507.42,76
BR_0002047,1198.4,1.89,18.74,1645.21,463
BR_0002048,1078.67,1.59,19.25,1584.37,918
BR_0002055,1128.22,1.76,18.8,1546.08,1140
BR_0002070,793.84,1.07,20.63,1436.02,12300
BR_0002073,622.38,0.44,23.31,1309.08,435
BR_0002076,737.52,0.98,21.28,1416.66,17300
BR_0002078,701.85,0.77,22.94,1486.11,263
BR_0002088,747,0.98,21.58,1429.02,34200
BR_0002095,568.65,0.44,23.59,1287.16,580
BR_0002096,564.61,0.45,23.65,1265.56,623
BR_0002097,552.39,0.44,23.76,1271.04,2070
BR_0002098,547.88,0.44,23.85,1229.01,430
BR_0002100,537.44,0.43,24.08,1250.86,4860
BR_0002104,466.79,0.37,24.91,1139.46,632
BR_0002106,469.88,0.43,24.74,1177.25,40.6
BR_0002157,859.66,0.64,19.77,1370.3,101
BR_0002167,914.13,0.53,19.34,1544.04,325
BR_0002169,775.24,0.71,19.81,1375.53,2010
BR_0002173,705.48,0.81,19.9,1249.88,1550
BR_0002181,1275.68,2.26,17.33,1679.7,955
BR_0002185,1051.9,1.87,18.63,1498.95,2180
BR_0002186,1199.67,1.98,17.4,1585.5,102
BR_0002196,1134.51,2.23,18.61,1561.99,407
BR_0002209,666.5,0.98,21.02,1314,1580
BR_0002220,816.79,0.99,20.86,1361.19,229
BR_0002225,769.15,0.65,20.86,1345.78,218
BR_0002226,769.68,0.66,20.86,1345.78,219
BR_0002233,766.1,0.82,21.3,1349.38,1070
BR_0002234,690.62,0.84,22.58,1320.15,411
BR_0002237,576.12,0.97,22.03,1289.34,187
BR_0002252,427.05,0.43,24.31,1159.99,459
BR_0002254,415.61,0.37,25.11,1119.66,105
BR_0002258,641.87,0.72,24.17,1468.62,7210
BR_0002261,555.49,0.61,24.43,1432.47,17900
BR_0002262,545.99,0.61,24.49,1421.43,19000
BR_0002263,710.61,0.79,23.07,1378.1,477000
BR_0002268,465.55,0.57,23.5,1175.45,6220
BR_0002271,573.31,0.67,24.48,1409.81,2940
BR_0002273,493.97,0.62,24.62,1367.18,14500
BR_0002279,472.13,0.61,23.86,1212.09,65.5
BR_0002280,403.81,0.44,23.54,1148.77,701
BR_0002282,541.2,0.61,24.19,1354.88,8150
BR_0002284,510.02,0.42,23.88,1367.01,2530
BR_0002286,486.9,0.5,24.21,1387.67,501
BR_0002287,476.75,0.54,24.14,1370.43,1460
BR_0002290,433.2,0.53,24.35,1346.59,13600
BR_0002291,451.11,0.56,24.42,1336.95,31000
BR_0002293,747.75,0.73,20.01,1405.65,687
BR_0002296,773.25,0.82,19.73,1388.13,532
BR_0002302,793.49,0.86,19.05,1356.26,707
BR_0002314,915.36,1.24,18.99,1374.37,1550
BR_0002317,921.49,1.14,18.81,1407.29,1690
BR_0002331,543.29,0.63,22.35,1250.69,891
BR_0002337,519.09,0.56,22.59,1166.02,900
BR_0002338,449.78,0.58,23.08,1249.24,649
BR_0002341,680.68,0.96,20.1,1347.57,3970
BR_0002348,660.71,1,20.19,1359.21,2610
BR_0002352,504.45,0.55,22.85,1195.72,1560
BR_0002359,856.11,0.57,18.21,1501.25,1340
BR_0002361,862.59,0.6,18.29,1508.02,5710
BR_0002366,978.58,0.89,18.35,1572.82,1040
BR_0002375,1026.98,0.47,18.31,1573.56,1590
BR_0002387,870.59,0.85,19.02,1474.88,18400
BR_0002389,869.78,0.84,19.06,1470.5,18700
BR_0002391,644.63,1,20.76,1489.2,820
BR_0002393,848.08,0.86,19.3,1473.24,20700
BR_0002396,595.53,0.96,21.42,1477.07,331
BR_0002412,832.94,0.83,19.43,1467.41,21900
BR_0002417,636.51,0.9,21.11,1347.77,1050
BR_0002432,517.69,0.78,22.14,1296.18,4490
BR_0002434,655.89,0.72,22.81,1415.03,676000
BR_0002436,655.89,0.72,22.81,1415.03,676000
BR_0002439,585.76,0.55,22.83,1569.02,731
BR_0002443,411.7,0.42,23.93,1388.71,4470
BR_0002446,407.46,0.44,23.83,1404.2,31900
BR_0002448,861.33,1.01,18.06,1596.52,1050
BR_0002457,804.86,1.4,18.85,1582.88,8540
BR_0002460,675.72,1.5,20.17,1499.76,2610
BR_0002461,755.64,1.35,19.29,1561.27,12700
BR_0002464,614.77,1.06,20.3,1501.17,3290
BR_0002465,696.9,1.2,19.72,1543.85,19400
BR_0002467,673.6,0.53,20.54,1539.62,853
BR_0002470,595.43,0.6,20.86,1490.75,1530
BR_0002472,664.33,1.11,19.89,1538.64,23100
BR_0002479,462.71,0.73,21,1343.37,818
BR_0002484,590.87,0.99,20.35,1497.7,32500
BR_0002493,577.15,0.96,20.4,1501.35,34400
BR_0002494,490.24,0.6,22.84,1592.53,1830
BR_0002497,434.32,0.53,23.13,1544.91,7200
BR_0002498,415.73,0.55,23.17,1535.36,8970
BR_0002500,409.82,0.53,22.8,1626.97,1060
BR_0002502,911.2,0.98,18.86,1696.63,1690
BR_0002504,808.59,1.07,18.85,1701.99,3540
BR_0002505,773.27,1.04,18.92,1705.74,4160
BR_0002507,650.24,0.98,19.62,1633.3,2520
BR_0002509,705.9,1.06,19.18,1669.14,7650
BR_0002511,601.16,0.78,20.11,1596.96,1340
BR_0002512,673.03,0.7,19.89,1760.42,598
BR_0002513,666.11,0.97,19.63,1645.94,11200
BR_0002515,656.01,0.97,19.65,1646.34,12100
BR_0002517,501.56,0.58,20.73,1437.49,2040
BR_0002518,466.84,0.52,20.86,1442.46,2960
BR_0002519,593.44,0.82,20.14,1575.51,17400
BR_0002522,563.91,0.79,20.3,1568.57,20900
BR_0002538,472.26,1.11,20.87,1752.29,568
BR_0002554,937.46,0.66,18.15,1719.38,89.2
BR_0002555,928.92,0.47,17.95,1804.31,385
BR_0002558,930.19,0.48,17.95,1762.3,564
BR_0002560,922.91,0.42,18.15,1630.68,43
BR_0002576,953.62,0.46,17.91,1608.39,262
BR_0002585,977.58,0.69,18.15,1628.15,25
BR_0002592,920.25,0.35,17.76,1636.17,2330
BR_0002594,931.91,0.42,18.04,1519.81,231
BR_0002606,905.5,0.77,18.21,1656.11,803
BR_0002617,899.78,0.57,17.6,1507.34,939
BR_0002634,866.69,0.53,17.86,1562.76,18600
BR_0002668,1147.41,0.79,18.23,1695.59,314
BR_0002670,1057.34,0.74,18.11,1690,2220
BR_0002689,1093.97,0.74,16.84,1834.01,1660
BR_0002701,782.26,1.16,18.2,1953.77,272
BR_0002723,595.05,1.02,19.74,1789.18,1310
BR_0002727,824.99,0.88,18.19,1706.01,63300
BR_0002728,819.58,0.89,18.27,1709.12,63900
BR_0002740,382.4,0.5,26.04,1715.93,1600
BR_0002741,413.55,1.5,26.65,1350.17,1310
BR_0002742,307.52,0.89,26.51,1451.49,9250
BR_0002743,282.29,0.72,26.51,1466.87,12100
BR_0002745,375.87,0.72,25.93,1704.99,5290
BR_0002751,406.38,0.74,25.67,1530.74,5660
BR_0002755,298.24,0.68,26.34,1444.9,47100
BR_0002762,364.83,0.98,25.58,1630.93,4260
BR_0002776,417.69,0.91,25.43,1567.9,16000
BR_0002777,394.5,0.89,25.62,1544.66,19700
BR_0002785,501.32,1,24.34,1641.8,3240
BR_0002787,487.75,0.99,24.64,1607.19,6990
BR_0002798,665.28,0.56,23.9,1603.33,2920
BR_0002804,321.74,0.61,25.45,1497.38,103000
BR_0002805,264.23,0.56,25.85,1417.62,234000
BR_0002806,260.19,0.55,25.85,1417.62,243000
BR_0002809,499.15,0.9,24.59,1524.46,9730
BR_0002816,447.35,0.8,24.85,1442.13,27600
BR_0002823,329.59,0.6,23.75,1354.91,11600
BR_0002824,308.07,0.61,23.89,1341.33,15000
BR_0002828,345.05,0.8,24.38,1345.58,15700
BR_0002836,278.85,0.55,23.78,1376.58,10200
BR_0002841,1396.79,1.49,15.09,1711.93,533
BR_0002843,1209.71,1.29,16.15,1632.23,2820
BR_0002857,1024.92,1.75,16.8,1636.3,3230
BR_0002876,1045.45,1.08,16.23,1631.52,801
BR_0002878,996.58,1.09,16.41,1651.08,2010
BR_0002879,954.33,1.3,16.62,1665.89,3710
BR_0002881,821.43,1.1,17.23,1627.2,420
BR_0002890,837.33,1.69,18.37,1938.26,1500
BR_0002891,645.58,0.58,19.43,1822.39,3710
BR_0002896,1098.28,0.99,16.28,1793.87,740
BR_0002902,603.54,1.23,19.59,2008.97,266
BR_0002904,687.95,1.55,19.22,1989.46,642
BR_0002905,639.29,1.45,19.37,1988.17,1010
BR_0002908,784,1.06,18.04,1933.87,8240
BR_0002914,494.67,0.84,19.95,1965.85,300
BR_0002917,663.84,1.44,19.21,1987.37,609
BR_0002919,489.75,0.64,20.36,1852.93,2020
BR_0002922,513.35,0.41,20.17,1823.45,502
BR_0002924,460.39,0.58,20.33,1832.12,1540
BR_0002926,359.35,0.6,20.61,1799.53,2260
BR_0002928,309.4,0.56,21.09,1802.65,329
BR_0002931,272.97,0.61,21.03,1809.02,1260
BR_0002933,410.39,0.46,19.85,1733.91,609
BR_0002936,367.57,0.46,19.95,1740.37,970
BR_0002942,364.5,0.45,19.95,1742.18,2160
BR_0002951,284.05,0.66,20.25,1774.42,378
BR_0002959,412.11,0.56,19.32,1689.03,1540
BR_0002964,150.12,0.27,19.01,1475.23,6010
BR_0002965,165.57,0.3,19.05,1476.58,12100
BR_0002974,195.66,0.43,19.46,1572.91,29400
BR_0002979,158.41,0.5,19.38,1517.85,1160
BR_0002985,211.09,0.41,18.87,1425.89,4570
BR_0003005,911.22,2,18.5,1574.2,212
BR_0003006,857.43,1.48,18.5,1591.57,582
BR_0003012,850.9,1.3,18.37,1618.73,1360
BR_0003014,804.59,1.3,18.39,1591.21,1700
BR_0003015,800.38,1.31,18.44,1568.02,3240
BR_0003016,857.03,1.56,18.15,1648.8,417
BR_0003023,758.56,1.52,18.76,1548.22,7350
BR_0003035,760.41,1.63,19.65,1747.29,3140
BR_0003036,775.72,1.64,19.62,1763.85,2930
BR_0003055,436.56,2.37,21.49,1957.13,596
BR_0003063,410.19,3.17,21.52,1787.37,69.8
BR_0003067,317.09,2.41,21.5,1917.15,1760
BR_0003080,488.17,3.57,20.45,1860.4,213
BR_0003098,770.97,6.54,20.09,1961.92,56.1
BR_0003099,650.53,5.44,20.09,1972.48,57.7
BR_0003119,535.05,2.82,18.1,1694.5,358
BR_0003132,895.91,2.86,17.24,1696.08,434
BR_0003137,638.76,1.91,17.71,1640.48,5160
BR_0003138,679.36,1.48,17.58,1560.97,1430
BR_0003145,602.39,1.86,17.81,1627.06,9790
BR_0003159,574.95,2.8,18.49,1697.12,827
BR_0003169,606.17,2.55,18.55,1703.54,1964
BR_0003173,518.16,3.15,18.03,1588.04,599
BR_0003188,562.56,2.88,19.45,1660.19,620
BR_0003193,313.38,3.09,17.7,1473.02,355
BR_0003200,198.84,1.31,19.78,1613.07,932
BR_0003203,187.86,0.5,19.23,1512.13,965
BR_0003204,172.39,0.58,19.41,1536,2970
BR_0003208,327.44,1.43,19.16,1539.74,62
BR_0003211,232.63,0.71,19.47,1538.31,690
BR_0003214,293.63,0.68,19.65,1597.52,27300
BR_0003221,400.35,1.73,19.6,1408.92,805
BR_0003260,610.63,1.76,18.06,1838.68,3030
BR_0003261,361.39,2.08,19.02,1661.98,870
BR_0003263,566.1,4.46,17.91,1901.34,442
BR_0003264,331.62,3.05,17.98,1712.32,1720
BR_0003267,366.35,2.39,18.29,1830.65,1460
BR_0003270,302.94,2.13,18.48,1764.4,3130
BR_0003291,243.29,0.77,18.76,1481.43,15600
BR_0003308,129.64,1.33,18.29,1428.94,131
BR_0003309,220.42,0.92,18.29,1468.1,386
BW_0000004,1091.77,0.26,21.63,415.94,646
BW_0000005,1105.05,0.26,21.2,441.47,2497
BW_0000006,1151,0.36,20.9,474.98,788
BW_0000007,1007.37,0.27,21.63,385.61,11370
BY_0000011,156.49,0.11,6.15,696.12,4580
BY_0000012,195.54,0.21,6,682.84,314
BY_0000030,138.72,0.11,8.27,661.62,313
CA_0000009,275.17,0.77,3.96,1042.08,2260
CA_0000011,381.22,0.98,3.18,1141.43,1150
CA_0000013,264.76,0.61,3.74,1109.9,339
CA_0000014,325.78,0.99,3.13,1134.86,182
CA_0000017,202.32,0.38,4.49,1060.57,199
CA_0000018,250.93,0.57,4.23,1036.61,6060
CA_0000025,176.55,0.45,4.92,1074.58,1210
CA_0000026,186.01,0.57,4.64,1034.84,484
CA_0000030,226.94,1.15,4.46,1153.42,350
CA_0000031,232.53,0.92,4.54,1139.85,156
CA_0000036,293.88,0.75,3.79,1105.84,39900
CA_0000039,175.07,0.52,4.46,1132.1,240
CA_0000040,170.28,0.43,5.19,1130.99,531
CA_0000043,228.93,0.65,4.65,1173.49,1450
CA_0000050,117.35,0.35,5.72,1226.32,557
CA_0000052,77.4,0.31,5.55,1159.9,1050
CA_0000056,146.61,1.02,5.54,1240.69,1100
CA_0000070,124.22,0.43,5.87,1162.13,3550
CA_0000071,105.84,0.48,6.35,1200.02,115
CA_0000074,157.15,0.41,5.27,1129.66,357
CA_0000077,347.11,0.81,2.95,1122.36,3160
CA_0000081,263.04,1.22,2.88,1142.7,558
CA_0000084,401.62,1.24,2.68,1204.39,1140
CA_0000090,478.93,1.68,1.89,1219.82,1680
CA_0000092,440.57,1.45,2.69,1152.66,1340
CA_0000093,424.03,1.18,2.79,1179.52,1910
CA_0000097,362.75,1.53,2.62,1083.27,645
CA_0000098,336.85,1.19,2.71,1223.35,534
CA_0000101,478.03,1.57,2.38,1121.95,659
CA_0000106,282.7,0.84,3.51,1146.44,510
CA_0000109,327.18,0.88,2.94,1135.79,7740
CA_0000112,206.25,0.45,3.98,1147.91,217
CA_0000121,88.62,0.54,4.5,1106.35,175
CA_0000122,63.21,0.3,4.85,1119.74,173
CA_0000123,97.94,0.24,4.93,1134.57,383
CA_0000125,290.97,0.71,3.94,1191.79,611
CA_0000126,60.04,0.22,4.99,1162.95,484
CA_0000129,230.08,0.5,4.3,1186.84,28.70000076
CA_0000130,238.33,0.61,3.85,1145.98,948
CA_0000139,88.21,0.6,5.52,1220.77,391
CA_0000140,200.15,1.23,5.68,1357.31,129
CA_0000163,63.1,0.28,6.19,1073.18,114
CA_0000165,36.72,0.29,6.2,1055.81,45.40000153
CA_0000177,39.05,0.13,6.16,1157.78,37.5
CA_0000180,82.35,0.45,6.16,1093.2,70.09999847
CA_0000185,44.9,0.19,6.16,1154.34,16.79999924
CA_0000188,39.7,0.2,6.16,1222.38,147
CA_0000203,127.59,0.85,6.7,1297.46,546
CA_0000242,176.51,0.9,6.26,1260.38,202
CA_0000247,205.78,1.24,6.41,1313.77,89
CA_0000248,105.78,0.35,6.02,1299.25,63.20000076
CA_0000253,168.3,1.34,6.2,1286.5,298
CA_0000258,137.25,1.19,6.25,1227.93,249
CA_0000276,171.92,0.26,6.84,1404.72,295
CA_0000286,120.96,0.2,7.2,1415.4,17.70000076
CA_0000292,163.17,0.51,6.93,1413.48,370
CA_0000299,93.97,1.02,6.81,1438.68,13.10000038
CA_0000309,120.37,0.35,5.79,1500.28,389
CA_0000316,122.61,1.15,6.16,1386.21,193
CA_0000333,91.29,0.9,6.04,1516.44,199
CA_0000334,47.12,0.31,6.11,1503.67,17.20000076
CA_0000354,480.67,0.89,2.46,815.97,225.8099976
CA_0000355,336.26,1.08,2.7,737.1,45.63000107
CA_0000357,468.84,0.39,1.7,773.08,406.8399963
CA_0000368,378.15,0.35,0.59,848.12,651.9099731
CA_0000372,377.26,0.56,1.35,821.28,1190
CA_0000373,325.59,0.45,1.5,829.53,1324.170044
CA_0000377,328.58,0.4,1.26,826.71,4221.72998
CA_0000378,341.96,0.35,1.59,859.8,210.0200043
CA_0000391,435.91,0.63,3.26,1158.4,1227.640015
CA_0000392,480.45,0.6,3.26,1104.4,1138.670044
CA_0000395,436.23,1.49,3.13,1202.06,10.35999966
CA_0000404,335.51,0.6,4.18,1008.46,108.4899979
CA_0000408,484.9,0.57,2.92,997.36,1451.660034
CA_0000416,443.61,0.47,3.52,959.42,9010
CA_0000417,439.51,0.53,3.68,978.64,1205.150024
CA_0000423,399.04,0.42,4.62,995.64,157.0800018
CA_0000512,437.72,0.46,4.76,1136.3,610.1699829
CA_0000525,290.83,0.49,7.55,907.41,176.0299988
CA_0000533,289.09,0.4,7.18,923.43,347.0499878
CA_0000546,276.54,0.86,6.96,1052.11,168.4600067
CA_0000548,292.62,0.71,7.22,974.75,94.80000305
CA_0000549,282.71,0.63,7.22,972.33,127
CA_0000551,226.94,0.24,6.96,1020.5,121.4899979
CA_0000558,235.94,0.42,6.82,1076.2,243.6100006
CA_0000560,442.71,0.54,6.47,917.62,175.6799927
CA_0000561,308.62,0.54,6.93,948.29,2686.370117
CA_0000594,297.42,0.18,7.07,1202.37,669.9199829
CA_0000609,366.79,0.1,6.95,1113.59,340.269989
CA_0000611,324.82,0.15,7.3,1174.61,370.5599976
CA_0000616,350.96,0.13,7.1,1116.21,2544.780029
CA_0000626,239.19,0.13,8.56,1020.81,112.5299988
CA_0000657,380.18,0.27,6.51,923.9,231.4900055
CA_0000658,369.86,0.33,7.73,978.11,47.43000031
CA_0000665,349.71,0.45,7.73,971.94,25.10000038
CA_0000666,387.54,0.12,7.02,1013.94,326
CA_0000667,462.12,0.18,6.69,1033.75,274.7099915
CA_0000671,362.44,0.53,7.73,981.81,14.89999962
CA_0000683,246.86,0.28,8.04,929.83,388.6400146
CA_0000685,284.08,0.17,7.73,974.95,91.90000153
CA_0000710,249.42,0.17,8.56,1012.08,664.5499878
CA_0000734,362.19,0.1,7.78,1050.33,140.3500061
CA_0000737,337.66,0.19,7.73,1007.63,148.8500061
CA_0000748,268.5,0.2,8.5,1023.45,148.5899963
CA_0000754,226.5,0.09,8.73,992.73,1149.319946
CA_0000757,220.7,0.11,8.93,984.23,248.7200012
CA_0000759,212.67,0.1,9.03,963.77,535.6099854
CA_0000762,186.61,0.06,9.85,939.31,14.19999981
CA_0000778,207.53,0.09,8.89,940.56,166.1399994
CA_0000801,414.01,0.55,6.9,902.96,414.7000122
CA_0000807,363.42,0.21,6.51,923.11,18.89999962
CA_0000808,382.52,0.56,6.9,903.83,644.8400269
CA_0000832,252.13,1.06,8.36,914.58,93.5
CA_0000833,228.17,0.53,8.36,898.05,181.3099976
CA_0000835,190.7,0.37,8.13,871.22,318.5
CA_0000836,308.93,0.57,7.45,863.6,296.2799988
CA_0000838,163.06,0.69,7.96,854.68,58
CA_0000839,269.88,0.74,8.36,915.87,83.58000183
CA_0000859,235.89,0.69,8.13,909.86,257.4599915
CA_0000881,232.28,0.67,7.51,955.24,63.77000046
CA_0000882,214.69,0.76,7.48,947.54,241.8699951
CA_0000891,94.51,0.14,8.7,967.06,13.89999962
CA_0000896,369.56,0.34,5.67,1046.76,1251.73999
CA_0000901,360.21,0.36,6.01,993.72,241
CA_0000902,340.8,0.28,6.01,1006.44,326
CA_0000905,268.76,0.37,7.01,955.72,116.1500015
CA_0000914,296.43,0.31,6.07,1002.68,12000
CA_0000917,194.17,0.38,7.22,957.81,160.5200043
CA_0000921,153.75,1.32,7.26,966.59,32.97999954
CA_0000943,140.42,0.28,7.61,999.39,105.1999969
CA_0000945,138.45,0.22,7.61,1006.21,144.1699982
CA_0000958,346.42,0.29,2.19,993.26,23400
CA_0000960,346.38,0.29,2.19,993.26,23400
CA_0000961,316.34,0.32,1.6,951.68,2590
CA_0000968,311.83,0.27,2.23,876.09,1782.25
CA_0000976,364.5,0.38,2.63,834.52,4300
CA_0000990,298.09,0.75,4.57,961.04,909
CA_0001034,322.03,0.42,3.73,973.28,90900
CA_0001039,114.75,0.24,6.33,915.67,258.480011
CA_0001040,183.31,0.26,5.95,886.21,212.2599945
CA_0001061,111.53,0.08,7.44,942.56,411.1199951
CA_0001085,314.41,0.49,3.93,993.64,143000
CA_0001111,436.9,0.69,3.62,1204.43,311
CA_0001118,382.18,0.87,3.74,1126.5,5460
CA_0001119,598.56,1.97,3.48,1181.21,39.90000153
CA_0001122,430.63,0.92,3.33,1214.6,39.09999847
CA_0001126,289.3,0.63,4.4,1121.29,1330
CA_0001131,455.78,0.63,1.95,1074.49,1050
CA_0001137,428.58,0.61,2.28,1079.74,4530
CA_0001138,381.78,0.95,3.1,1103.75,883
CA_0001144,443.59,0.5,1.86,1056.08,6840
CA_0001153,356.97,0.52,3.14,1052.13,22500
CA_0001165,85.19,0.14,6.6,1045.55,365.1000061
CA_0001177,231.93,0.33,5.57,915.13,772000
CA_0001199,389.64,0.73,2.11,982.24,1570
CA_0001226,186.26,0.68,6.44,1060.48,2490
CA_0001253,387.05,1.22,3.62,1166.54,1340
CA_0001254,437.38,1.26,3.52,1195.4,1260
CA_0001261,155.86,0.59,5.66,1084.84,647
CA_0001268,425.99,0.82,2.96,1130.99,774
CA_0001275,239.31,0.76,5.33,1205.64,1540
CA_0001276,314.55,1.11,4.98,1271.81,342
CA_0001285,396.18,0.75,4.57,1220.94,1230
CA_0001307,505.36,1.44,4.31,1327.03,738
CA_0001321,401,0.87,4.55,1260.34,2930
CA_0001323,374.14,0.73,4.64,1231.74,1730
CA_0001330,342.7,0.87,5.07,1204.58,9630
CA_0001339,222.18,0.61,6.35,1290.79,139
CA_0001341,245.99,0.55,6.3,1300.87,67.09999847
CA_0001343,250.95,1.11,6.4,1322.9,209
CA_0001349,54.68,0.12,6.35,1087.22,316
CA_0001363,244.66,0.46,6.22,1310.48,30.5
CA_0001369,153.02,0.66,6.47,1164.45,404
CA_0001376,48.54,0.43,6.92,1101.61,309
CA_0001384,386.98,0.72,3.02,1243.67,4480
CA_0001389,578.18,1.32,1.86,1496.41,642
CA_0001391,560.3,1.36,2.41,1484.06,1550
CA_0001400,163.15,0.71,4.48,1341.69,355
CA_0001401,327.69,1.52,3.53,1451.81,213
CA_0001415,295.07,1.5,3.71,1397.97,357
CA_0001418,789.68,1.7,1.15,1594.06,9.170000076
CA_0001428,494.98,2.22,1.36,1132.52,865
CA_0001431,676.95,1.83,1.29,1241.85,1700
CA_0001432,305.76,0.79,3.39,1097.04,1050
CA_0001442,335.46,0.68,3.7,1101.13,795
CA_0001450,394.32,1.06,4.03,1207.47,821
CA_0001451,384.8,1.04,4.25,1213.97,1160
CA_0001461,542.3,1.3,4.03,1293.25,775
CA_0001469,370.56,0.62,3.82,1181.95,691
CA_0001486,342.26,1.27,4.7,1302.97,919
CA_0001487,263.84,0.89,4.97,1221.5,2330
CA_0001496,291.89,0.77,3.02,1100.41,1610
CA_0001502,273.65,1.04,2.92,1037.43,492
CA_0001508,206.29,0.8,3.21,1070.88,208
CA_0001510,407.13,2.56,2.06,1198.95,721
CA_0001517,560.2,3.39,1.96,1227.66,774
CA_0001522,212.23,1.82,3.05,1109.35,59.79999924
CA_0001542,440.16,0.41,-0.18,977.72,11100
CA_0001543,433.87,0.37,0.17,977.05,4330
CA_0001569,644.83,0.97,1.18,1352.94,1110
CA_0001570,508.19,1.97,0.98,1189.39,746
CA_0001572,589.72,1.41,1.54,1152.39,1100
CA_0001573,475.27,1.36,1.52,1240.23,572
CA_0001574,496.52,2.06,2.06,1099.39,736
CA_0001594,538.78,0.86,-0.35,1040.02,16100
CA_0001601,450.02,1.12,1.8,1125.38,767
CA_0001605,551.64,1.08,-1.63,994.38,45600
CA_0001606,582.23,0.85,-2.48,962.49,29300
CA_0001608,570.17,0.91,-1.67,981.98,17200
CA_0001609,565.72,0.95,-1.56,985.08,17900
CA_0001615,577.72,1.12,-2.25,917.47,19000
CA_0001626,610.26,1.28,-2.33,902.11,7230
CA_0001635,439.78,0.96,-1.32,1012.4,15600
CA_0001636,196.45,0.66,0.62,1108.51,2950
CA_0001641,463.52,0.52,-2.23,987.53,4540
CA_0001651,104.03,0.8,1.9,1084.76,306
CA_0001652,135.88,1.1,1.7,1215.29,33.59999847
CA_0001655,100.13,0.66,1.52,1083.22,200
CA_0001656,348.63,2.51,2.25,1173.13,95.69999695
CA_0001658,482.31,1.01,1.64,1204.61,627
CA_0001661,269.32,1.06,3.48,1380.38,640
CA_0001671,213.62,0.92,2.92,1097.49,20.39999962
CA_0001674,304.37,1.36,2.92,1192.97,7860
CA_0001676,225.6,2.3,3.54,1306.6,17
